Quarter,Region,Sector,Employment
2023 Q1,South-East,Admin & Support,8.8
2023 Q1,South-East,Agriculture,14.5
2023 Q1,South-East,Construction,17.7
2023 Q1,South-East,Education,18.8
2023 Q1,South-East,Financial & Insurance,8.7
2023 Q1,South-East,Human Health & Social Work,30.0
2023 Q1,South-East,Industry,31.5
2023 Q1,South-East,Professional & Scientific,14.0
2023 Q1,South-East,Public Admin & Defence,11.1
2023 Q1,South-East,Transport & Storage,8.5
2023 Q1,South-East,Wholesale & Retail,31.1
2023 Q1,South-West,Accommodation & Food,30.7
2023 Q1,South-West,Admin & Support,13.8
2023 Q1,South-West,Agriculture,20.6
2023 Q1,South-West,Construction,23.6
2023 Q1,South-West,Education,31.0
2023 Q1,South-West,Financial & Insurance,9.4
2023 Q1,South-West,Human Health & Social Work,50.7
2023 Q1,South-West,Industry,55.5
2023 Q1,South-West,Information & Communication,20.8
2023 Q1,South-West,Professional & Scientific,23.9
2023 Q1,South-West,Public Admin & Defence,15.0
2023 Q1,South-West,Transport & Storage,10.3
2023 Q1,South-West,Wholesale & Retail,54.7
2023 Q1,West,Accommodation & Food,17.2
2023 Q1,West,Admin & Support,7.6
2023 Q1,West,Agriculture,12.3
2023 Q1,West,Construction,15.2
2023 Q1,West,Education,20.3
2023 Q1,West,Financial & Insurance,8.1
2023 Q1,West,Human Health & Social Work,37.4
2023 Q1,West,Industry,42.1
2023 Q1,West,Information & Communication,10.8
2023 Q1,West,Professional & Scientific,11.0
2023 Q1,West,Public Admin & Defence,11.3
2023 Q1,West,Transport & Storage,10.2
2023 Q1,West,Wholesale & Retail,36.4
2023 Q2,Border,Accommodation & Food,13.1
2023 Q2,Border,Admin & Support,6.0
2023 Q2,Border,Agriculture,17.1
2023 Q2,Border,Construction,17.3
2023 Q2,Border,Education,18.9
2023 Q2,Border,Human Health & Social Work,32.3
2023 Q2,Border,Industry,28.0
2023 Q2,Border,Information & Communication,6.3
2023 Q2,Border,Professional & Scientific,12.4
2023 Q2,Border,Public Admin & Defence,10.3
2023 Q2,Border,Transport & Storage,7.7
2023 Q2,Border,Wholesale & Retail,23.2
2023 Q2,Dublin,Accommodation & Food,49.5
2023 Q2,Dublin,Admin & Support,42.3
2023 Q2,Dublin,Construction,41.5
2023 Q2,Dublin,Education,66.7
2023 Q2,Dublin,Financial & Insurance,72.4
2023 Q2,Dublin,Human Health & Social Work,103.8
2023 Q2,Dublin,Industry,57.9
2023 Q2,Dublin,Information & Communication,88.5
2023 Q2,Dublin,Professional & Scientific,69.2
2023 Q2,Dublin,Public Admin & Defence,45.3
2023 Q2,Dublin,Transport & Storage,43.0
2023 Q2,Dublin,Wholesale & Retail,86.5
2023 Q2,Mid-East,Accommodation & Food,25.2
2023 Q2,Mid-East,Admin & Support,18.9
2023 Q2,Mid-East,Agriculture,12.7
2023 Q2,Mid-East,Construction,29.9
2023 Q2,Mid-East,Education,30.6
2023 Q2,Mid-East,Financial & Insurance,21.8
